year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2005.1487,-6.2,,,
2005.1492,,-3.38,,
2005.1757,-12.16,,,
2005.176,,-1.01,,
2005.2031,,0.51,,
2005.2036,-3.41,,,
2005.2303,-4.44,2.05,,
2005.2575,,14.47,,
2005.2578,11.41,,,
2005.2846,,22.57,,
2005.285,21.99,,,
2005.3106,4.42,,,
2005.3117,,8.19,,
2005.3389,,-5.08,,
2005.3397,-15.21,,,
2005.3659,-6.69,,,
2005.3661,,-1.15,,
2005.3931,,5.52,,
2005.3937,10.43,,,
2005.4201,1.89,,,
2005.4203,,-1.88,,
2005.4474,-0.4,,,
2005.4475,,3,,
2005.4744,5.8,,,
2005.4746,,19.14,,
2005.5016,,18.97,,
2005.5021,0.36,,,
2005.529,,2.91,,
2005.5296,-2.94,,,
2005.5557,4.85,,,
2005.556,,6.66,,
2005.5831,9.33,,,
2005.5832,,14.55,,
2005.6102,,-2.52,,
2005.6107,-1.26,,,
2005.6374,-4.34,,,
2005.6376,,-4.05,,
2005.6646,,10.32,,
2005.6649,11.91,,,
2005.6914,18.49,,,
2005.6918,,20.07,,
2005.7139,,17.23,,
2005.719,19.92,,,
2005.7461,9.7,,,
2005.7509,,10.34,,
2005.7657,15.38,,,
2005.7732,,17.41,,
2005.8004,,13.33,,
2005.8275,,17.23,,
2005.8547,,31.31,,
2005.8819,,30.94,,
2005.9089,,13.14,,
2005.9362,,13.25,,
2005.9631,,-16.05,,
2005.9908,,7.58,,
2006.0176,,19,,
2006.0448,,15.19,,
2006.0719,,14.94,,
2006.099,,11.54,,
2006.1263,,7.36,,
2006.1533,,4.41,,
2006.1805,,9.92,,
2006.2077,,13.46,,
2006.2347,,18.22,,
2006.262,,22.59,,
2006.2891,,13.74,,
2006.3163,,11.4,,
2006.3435,,10.18,,
2006.3706,,7.48,,
2006.3975,,2.11,,
2006.4248,,-6.97,,
2006.4521,,-3.86,,
2006.4793,,5.22,,
2006.5064,,1.4,,
2006.5334,,16,,
2006.5608,,10.29,,
2006.5876,,12.35,,
2006.6149,,13.08,,
2006.642,,5.32,,
2006.6692,,12.46,,
2006.6963,,1.13,,
2006.7234,,9.68,,
2006.7506,,19.35,,
2006.7778,,9.73,,
2006.8049,,0.2,,
2006.8246,,-17.29,,
2006.8896,,10.83,,
2006.9134,,15.49,,
2006.9406,,20.63,,
2006.9676,,17.27,,
2006.9951,,17.95,,
2007.0222,,28.96,,
2007.0492,,6.42,,
2007.0765,,-10.08,,
2007.1037,,-11.08,,
2007.1302,,6.28,,
