year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2002.2717,0.4,,,
2002.2991,,9.36,,
2002.2999,-1.12,,,
2002.326,16.07,,,
2002.3261,,19.27,,
2002.3532,-4.74,-3.64,,
2002.3802,12.05,,,
2002.3803,,8.87,,
2002.4073,12.41,,,
2002.4074,,8.56,,
2002.4345,4.26,3.9,,
2002.4618,,-3.54,,
2002.462,0.21,,,
2002.4889,-17.22,-27.24,,
2002.5161,,-7.48,,
2002.5432,27.8,,,
2002.5434,,12.32,,
2002.5702,11.61,,,
2002.5704,,12.63,,
2002.5974,-2.09,,,
2002.5976,,6.6,,
2002.6246,-6.7,1.92,,
2002.652,,8.56,,
2002.6553,10.46,,,
2002.6789,19.13,13.16,,
2002.706,,17.61,,
2002.7066,22.72,,,
2002.733,7.74,,,
2002.7332,,10.15,,
2002.7603,0.21,,,
2002.7605,,-3.59,,
2002.7862,19.73,,,
2002.7874,,19.23,,
2002.8147,,-3.62,,
2002.8148,3.66,,,
2002.8415,12.83,,,
2002.8416,,-1.74,,
2002.8686,0.83,,,
2002.869,,-13.3,,
2002.895,,-10.42,,
2002.8979,-5.06,,,
2002.9231,6.19,,,
2002.9232,,2.72,,
2002.9503,5.56,,,
2002.9505,,3,,
2002.9771,0.83,,,
2002.9773,,2.37,,
2003.0043,2.06,,,
2003.0048,,0.04,,
2003.0317,,3.16,,
2003.0318,3.16,,,
2003.0592,13.26,,,
2003.0594,,11.86,,
2003.0861,2.99,,,
2003.0863,,3.6,,
2003.1129,11.47,,,
2003.1131,,13.87,,
2003.1404,13.49,,,
2003.1406,,11.41,,
2003.1674,20.99,,,
2003.1677,,5.78,,
2003.1951,22.46,,,
2003.1953,,12.45,,
2003.2217,17.89,,,
2003.2219,,12.19,,
2003.2487,5.04,,,
2003.2491,,7.45,,
2003.2758,4.51,,,
2003.2808,,-0.15,,
2003.3033,-5.19,-2.08,,
2003.3301,18.6,,,
2003.3304,,18.01,,
2003.3576,,17.68,,
2003.3577,29.75,,,
2003.3845,10.06,,,
2003.3848,,5.47,,
2003.4116,19.71,,,
2003.412,,12.34,,
2003.4385,14.93,,,
2003.4392,,2.57,,
2003.4662,23.25,11.07,,
2003.4932,,3.29,,
2003.4933,30.42,,,
2003.5203,13.34,,,
2003.5207,,5.77,,
2003.5472,8.03,,,
2003.5476,,9.19,,
2003.5747,0.75,,,
2003.5748,,2.36,,
2003.6018,21.46,,,
2003.6021,,18.78,,
2003.6288,17.14,,,
2003.6293,,9.49,,
2003.6559,2.19,,,
2003.6562,,0.77,,
2003.6834,16.71,13.44,,
2003.7103,11.32,,,
2003.7106,,19.76,,
2003.7375,16.63,,,
2003.7378,,20.32,,
2003.7647,9.24,,,
2003.7649,,6.51,,
2003.7918,12.44,,,
2003.7922,,2.48,,
2003.8191,20.3,,,
2003.8192,,9.61,,
2003.846,40.37,,,
2003.8464,,19.52,,
2003.8712,,17.86,,
2003.8735,12.9,,,
2003.9004,-7.36,,,
2003.9113,,0.52,,
2003.9274,8.23,,,
2003.9277,,8.6,,
2003.9547,21.61,,,
2003.9549,,15.82,,
2003.9816,14.23,,,
2003.982,,7.93,,
2004.009,-2.29,,,
2004.0092,,4.57,,
2004.0359,21.35,,,
2004.0362,,27.76,,
2004.063,14.18,,,
2004.0634,,20.6,,
2004.0908,5.55,12.07,,
2004.1136,,3.99,,
2004.1179,17.77,,,
2004.1447,19.18,,,
2004.149,,15.23,,
2004.1719,-4.83,,,
2004.1721,,2.91,,
2004.1992,8.22,,,
2004.1993,,16.93,,
2004.2261,26.73,,,
2004.2264,,31.23,,
2004.2523,,7.55,,
2004.2534,4.32,,,
2004.2802,-0.91,,,
2004.2808,,1.05,,
2004.3078,4.39,,,
2004.308,,1.92,,
2004.3349,25.06,,,
2004.335,,17.69,,
2004.3619,18.44,,,
2004.3622,,16.14,,
2004.3887,10.45,,,
2004.3891,,7.98,,
2004.4164,,6.43,,
2004.4437,,11.86,,
2004.4707,,6.32,,
2004.4732,19.31,,,
2004.4974,7.14,,,
2004.498,,10.32,,
2004.5226,-11.68,,,
2004.525,,-4.49,,
2004.5496,-8.66,,,
2004.5523,,-3.72,,
2004.5776,0.08,,,
2004.5794,,2.32,,
2004.6063,8.18,,,
2004.6066,,10.08,,
2004.6338,3.15,-1.45,,
2004.6606,-3.59,-2.14,,
2004.6874,8.45,,,
2004.688,,13.44,,
2004.7148,16.25,,,
2004.715,,20.59,,
2004.7422,,10.75,,
2004.7425,11.84,,,
2004.7691,27.62,,,
2004.7694,,24.67,,
2004.7963,5.05,,,
2004.7965,,11.14,,
2004.8237,-2.67,-3.11,,
2004.8502,6,,,
2004.851,,11.7,,
2004.8777,7.25,,,
2004.8779,,11.6,,
2004.9049,-4.86,,,
2004.9052,,5.04,,
2004.932,4.67,,,
2004.9322,,8.89,,
2004.9541,12.21,,,
2004.9595,,13.92,,
2004.9861,21.73,,,
2004.9865,,23.01,,
2005.0135,8.98,,,
2005.0137,,26.33,,
2005.0403,39.82,,,
2005.0404,,52.35,,
2005.0679,28.4,31.48,,
2005.0948,10.51,7.67,,
2005.1223,15.8,,,
2005.1225,,12.46,,
2005.1488,-4.4,,,
2005.1495,,5.73,,
2005.176,-11.54,,,
2005.1762,,7.56,,
2005.2039,,8.86,,
2005.2041,-4.84,,,
2005.2305,,24.02,,
2005.2308,11.96,,,
2005.2578,9.76,,,
2005.258,,14.78,,
2005.2848,7.94,,,
2005.2849,,14.75,,
2005.3102,7.52,,,
2005.3123,,22.3,,
2005.3392,,25.88,,
2005.3397,16.77,,,
2005.3664,-5.64,1.13,,
2005.3937,3.56,,,
2005.3938,,2.77,,
2005.4206,15.41,,,
2005.4211,,8.62,,
2005.4477,20.68,,,
2005.4481,,19.96,,
2005.4749,10.18,,,
2005.4752,,15.95,,
2005.5021,3.24,,,
2005.5025,,13.95,,
2005.5297,,21.91,,
2005.5298,14.81,,,
2005.5564,13.32,,,
2005.5567,,16.18,,
2005.5834,-2.14,,,
2005.584,,-2.9,,
2005.6107,11.86,,,
2005.611,,10.54,,
2005.638,14.64,,,
2005.6384,,17.71,,
2005.665,-3.86,,,
2005.6654,,5.49,,
2005.6921,2.78,,,
2005.6924,,9.93,,
2005.7139,,12.83,,
2005.7193,9.02,,,
2005.7467,27.87,,,
2005.7514,,30.67,,
2005.7654,17.63,,,
2005.7736,,17.17,,
2005.8011,,-4.12,,
2005.8281,,8.5,,
2005.8554,,22.17,,
2005.8824,,-0.98,,
2005.9096,,7.59,,
2005.9367,,20.89,,
2005.9639,,9.16,,
2005.991,,11.7,,
2006.0181,,11.34,,
2006.0453,,16.55,,
2006.0727,,22.13,,
2006.0996,,23.27,,
2006.1269,,23.39,,
2006.1537,,8.75,,
2006.181,,1.79,,
2006.2082,,2.72,,
2006.2354,,5.42,,
2006.2625,,15.35,,
2006.2897,,1.59,,
2006.3167,,3.74,,
2006.344,,16.66,,
2006.3712,,26.49,,
2006.3982,,31.6,,
2006.4254,,12.99,,
2006.4527,,12.28,,
2006.4797,,25.96,,
2006.5068,,17.23,,
2006.5339,,12.18,,
2006.5612,,17.25,,
2006.5883,,18.1,,
2006.6155,,-1.42,,
2006.6426,,8.32,,
2006.6699,,18.24,,
2006.6969,,24.05,,
2006.7242,,15.65,,
2006.7512,,24.28,,
2006.7781,,22.73,,
2006.8055,,18.95,,
2006.8244,,20,,
2006.8894,,-0.43,,
2006.9144,,8.4,,
2006.9408,,11.68,,
2006.9684,,15.44,,
2006.9954,,20.64,,
2007.0224,,18.81,,
2007.0496,,21.65,,
2007.0768,,14.25,,
2007.1038,,1.38,,
2007.1305,,-5.69,,
2007.1587,,6.19,,
2007.1853,,16.71,,
2007.2128,,17.28,,
2007.24,,17.97,,
2007.2667,,17.78,,
2007.2941,,2.41,,
2007.3213,,3.23,,
2007.3484,,2.66,,
2007.3756,,16.88,,
2007.4029,,23.02,,
2007.4298,,20.1,,
2007.457,,3.76,,
2007.4842,,13.35,,
2007.5115,,13.86,,
2007.5384,,15.65,,
2007.5655,,5.09,,
2007.593,,6.67,,
2007.62,,0.56,,
2007.6473,,0.82,,
2007.6743,,9.65,,
2007.7014,,2.31,,
2007.7285,,13.94,,
2007.7558,,30.57,,
2007.7829,,21.06,,
2007.8101,,12.09,,
2007.8371,,8.69,,
2007.8643,,-13.15,,
2007.8914,,8.34,,
2007.9185,,15.7,,
2007.9456,,17.12,,
2007.973,,6.15,,
2007.9998,,6.99,,
2008.0271,,15.11,,
2008.0541,,24.89,,
2008.0815,,26.92,,
2008.1085,,16.6,,
2008.1356,,21.04,,
2008.1629,,16.84,,
2008.19,,16.66,,
2008.2172,,11.29,,
2008.2443,,15.86,,
2008.2715,,14.47,,
2008.2987,,25.59,,
2008.3259,,27.89,,
2008.3465,,22.32,,
2008.3801,,20.91,,
2008.4071,,18.33,,
2008.4344,,14.13,,
2008.4615,,25.76,,
2008.4887,,32.43,,
2008.5158,,25.43,,
2008.5429,,22.41,,
2008.5431,,,22.05,
2008.5701,,,14.8,
2008.5702,,10.9,,
2008.5923,,3.81,,
2008.5972,,,2.2,
2008.6243,,,10.41,
2008.6512,,,3.09,
2008.6515,,-1.91,,
2008.6787,,9.11,10.65,
2008.7058,,16.34,,
2008.7059,,,17.53,
2008.733,,21.36,17.04,
2008.76,,12.31,,
2008.7601,,,8.65,
2008.7872,,,16.49,
2008.7873,,17.33,,
2008.8145,,22.96,21.61,
2008.8416,,14.26,13.74,
2008.8687,,29.33,27.09,
2008.8958,,33.42,,
2008.8959,,,30.41,
